n1,n2,n3,n4,,,,,,,,,,,,,,,,,eng
8chich,8chich,,,,,,,,,,,,,,,,,,,fragile
cha3l,chu3l,che3l,cha3l,,,,,,,,,,,,,,,,,angry
DaSr,DuSr,DaSr,DeSr,,,,,,,,,,,,,,,,,naughty
modmin,moudmin,moudmine,,,,,,,,,,,,,,,,,,addicted
ghabyy,ghaby,ghubyy,ghebyy,ghabyy,,,,,,,,,,,,,,,,stupid
mkllkh,mkallakh,mkellekh,mkallekh,,,,,,,,,,,,,,,,,stupid
mjllj,mjellej,mjallaj,mjallej,,,,,,,,,,,,,,,,,stupid
kbir,kabir,,,,,,,,,,,,,,,,,,,big
Sghir,saghir,,,,,,,,,,,,,,,,,,,small
m8rrs,mhrrs,m8arras,m8erras,m8rrs,,,,,,,,,,,,,,,,broken
momill,,,,,,,,,,,,,,,,,,,,boring
Sl3,Sla3,Sle3,,,,,,,,,,,,,,,,,,bald
ghliD,,,,,,,,,,,,,,,,,,,,fat
Tebbouzi,Tebboozi,Tubbozi,Tbbouzi,Tebbozi,Tebboyzi,Tibbouzi,Tubbouzi,Tubboyzi,Tybbouzi,Tubboozi,Tobbouzi,Tebbouzi,,,,,,,,fat
r9i9,rqiq,rki9,r9i9,rqi9,,,,,,,,,,,,,,,,thin
Twil,Twel,,,,,,,,,,,,,,,,,,,tall
9Sir,9ssir,9Sir,,,,,,,,,,,,,,,,,,short
zwin,,,,,,,,,,,,,,,,,,,,beautiful
bogos,,,,,,,,,,,,,,,,,,,,handsome
khayb,khayeb,5ayb,khayb,kheyb,khuyb,,,,,,,,,,,,,,,ugly
8bil,hbil,8bil,,,,,,,,,,,,,,,,,,crazy
mSTTi,mSaTTi,mSeTTi,,,,,,,,,,,,,,,,,,crazy
3aamr,aamr,3amer,3amr,3yamr,3uumr,3uemr,3emr,3eamr,3iamr,3eemr,3aamr,3uamr,3oumr,3oamr,3umr,3yumr,3oemr,3yemr,3iumr,full
jdid,,,,,,,,,,,,,,,,,,,,new
9dim,qdim,9dim,,,,,,,,,,,,,,,,,,old
charf,chaarf,charf,cherf,churf,,,,,,,,,,,,,,,,old
S3ib,,,,,,,,,,,,,,,,,,,,hard
9as7,9aas7,kys7,kos7,9esh,qas7,kus7,9is7,9es7,9sh,qys7,qs7,9ish,qos7,9osh,9ush,qus7,qis7,kes7,ks7,hard
